,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
133,Phillip Dorsett II,JAC,WR,14.2,172.7,1.1,0.1,0,0,0,0,0,0,0,0
94,Elijah Mitchell,SF,RB,5.7,51.5,0.2,0.1,26.8,124.1,0.8,0,0,0,0,0
95,La'Mical Perine,NYJ,RB,4.4,31.5,0.2,0.2,32.6,137.2,1,0,0,0,0,0
60,Ian Thomas,CAR,TE,17.7,157.2,1.3,0,0,0,0,0,0,0,0,0
134,David Moore,CAR,WR,11.7,160.7,1,0.1,1.2,7.7,0,0,0,0,0,0
96,Jaylen Samuels,PIT,RB,7.8,51.7,0.3,0.1,26.5,111,0.6,0,0,0,0,0
135,Willie Snead IV,LV,WR,14.4,167.8,0.9,0.1,0,0,0,0,0,0,0,0
97,Ito Smith,ARI,RB,5.7,39.1,0.2,0.2,26.7,112.2,1,0,0,0,0,0
61,Chris Manhertz,JAC,TE,15.9,158.4,1,0,0,0,0,0,0,0,0,0
98,Devonta Freeman,NO,RB,9.7,78,0.5,0.1,18.1,73.3,0.5,0,0,0,0,0
62,Marcedes Lewis,GB,TE,11.5,121.4,1.4,0,0,0,0,0,0,0,0,0
63,Noah Gray,KC,TE,14.4,146.7,1.1,0.5,0,0,0,0,0,0,0,0
64,Matt Sokol,LAC,TE,13,140,1,0,0,0,0,0,0,0,0,0
65,Reggie Gilliam,BUF,TE,11,77,2,0,0,0,0,0,0,0,0,0
99,Raymond Calais,LAR,RB,4.6,35.4,0.2,0.1,23.1,97.6,0.8,0,0,0,0,0
66,Brevin Jordan,HOU,TE,12.8,131.3,1.2,0.5,0,0,0,0,0,0,0,0
136,Dede Westbrook,MIN,WR,12,127.7,1,0.1,0.7,3.6,0,0,0,0,0,0
67,Kahale Warring,HOU,TE,13.4,138.4,0.9,0,0,0,0,0,0,0,0,0
68,Kyle Markway,LAR,TE,13,130,1,0,0,0,0,0,0,0,0,0
100,Anthony McFarland Jr.,PIT,RB,5.7,45,0.1,0.6,30.3,116.2,0.5,0,0,0,0,0
69,Jacob Harris,LAR,TE,10.7,136.9,0.8,0,0,0,0,0,0,0,0,0
71,Thaddeus Moss,CIN,TE,13,121,1,0,0,0,0,0,0,0,0,0
70,Juwan Johnson,NO,TE,11.1,127.2,0.9,0.1,0,0,0,0,0,0,0,0
101,Jerick McKinnon,KC,RB,6.8,48.2,0.2,0.1,21.5,95,0.4,0,0,0,0,0
137,Andy Isabella,ARI,WR,11,136.6,0.7,0,0,0,0,0,0,0,0,0
72,Ryan Griffin,NYJ,TE,11.3,106.6,1.2,0,0,0,0,0,0,0,0,0
138,Christian Blake,ATL,WR,12.5,146.4,0.5,0.1,0,0,0,0,0,0,0,0
73,Kylen Granson,IND,TE,13.1,136.5,0.7,0.1,0,0,0,0,0,0,0,0
139,Lynn Bowden Jr.,MIA,WR,10.8,98.8,0.2,0.1,10.2,49.3,0.2,0,0,0,0,0
140,Ray-Ray McCloud,PIT,WR,11.3,113.2,0.7,0.2,3,19.2,0.1,0,0,0,0,0
74,Darrell Daniels,ARI,TE,11.3,121.8,0.9,0.1,0,0,0,0,0,0,0,0
76,Hunter Bryant,DET,TE,10.4,122.8,0.8,0,0,0,0,0,0,0,0,0
75,Ross Dwelley,SF,TE,11.4,120.1,0.9,0,0,0,0,0,0,0,0,0
141,Miles Boykin,BAL,WR,9.1,123.5,0.7,0.1,0.8,4.9,0,0,0,0,0,0
77,Devin Asiasi,NE,TE,10.4,117,1.1,0.5,0,0,0,0,0,0,0,0
78,Brycen Hopkins,LAR,TE,12.5,127.8,0.7,0.1,0,0,0,0,0,0,0,0
142,Cedrick Wilson,DAL,WR,9.7,126.8,0.7,0.1,0,0,0,0,0,0,0,0
40,Kyle Trask,TB,QB,0,0,0,0.2,1.3,5,0,34.5,21.3,246.3,1.9,0.7
79,Durham Smythe,MIA,TE,13.1,108,1,0,0,0,0,0,0,0,0,0
143,Chris Moore,HOU,WR,10.5,120.8,0.7,0,0,0,0,0,0,0,0,0
80,Austin Fort,DEN,TE,10,102,1,0,0,0,0,0,0,0,0,0
102,Chris Evans,CIN,RB,4.4,32.8,0.2,0.1,24.4,96.9,0.4,0,0,0,0,0
81,Derek Carrier,LV,TE,10,92,1.2,0,0,0,0,0,0,0,0,0
82,Luke Farrell,JAC,TE,13.8,130,0.7,0.5,0,0,0,0,0,0,0,0
103,Justice Hill,BAL,RB,4.3,30.9,0.1,0.1,19.1,87.8,0.6,0,0,0,0,0
83,Caleb Wilson,WAS,TE,10,97,1,0,0,0,0,0,0,0,0,0
41,Jeff Driskel,HOU,QB,0,0,0,0.2,3.4,18.1,0.2,33.8,21.1,243.7,1.3,0.8
84,John Bates,WAS,TE,12.4,119.1,0.8,0.5,0,0,0,0,0,0,0,0
104,Demetric Felton,CLE,RB,2.5,20.6,0,0,18.7,90.2,0.7,0,0,0,0,0
144,Javon Wims,CHI,WR,9.6,122.4,0.5,0.1,0,0,0,0,0,0,0,0
42,Taylor Heinicke,WAS,QB,0,0,0,0.2,5.7,22.8,0.1,37.2,23.5,257.1,1.3,1.4
105,Kylin Hill,GB,RB,3.7,27.8,0.1,0.1,25.2,101.9,0.3,0,0,0,0,0
85,Jace Sternberger,GB,TE,9.6,88.5,1,0,0,0,0,0,0,0,0,0
145,Tyler Johnson,TB,WR,8,102.3,0.8,0,0,0,0,0,0,0,0,0
43,Mason Rudolph,PIT,QB,0,0,0,0.2,2.8,9.4,0.1,35.7,22,242.7,1.4,0.9
146,Jamal Agnew,JAC,WR,6.8,75.4,0.4,0.1,6.2,34,0.2,0,0,0,0,0
147,Jeff Smith,NYJ,WR,9.6,107.1,0.6,0,0,0,0,0,0,0,0,0
44,Jacoby Brissett,MIA,QB,0,0,0,0.3,4.3,14.1,0.2,32,20.1,227,1.1,0.5
148,Noah Brown,DAL,WR,8.6,106.1,0.6,0.1,0,0,0,0,0,0,0,0
86,Blake Bell,KC,TE,10,94.9,0.7,0,0,0,0,0,0,0,0,0
106,Ameer Abdullah,MIN,RB,6.2,43.8,0.4,0,15.4,68.7,0.1,0,0,0,0,0
149,Cameron Batson,TEN,WR,7.2,80,0.6,0.1,2.5,14.9,0.1,0,0,0,0,0
45,Phillip Walker,CAR,QB,0,0,0,0.5,2,6.1,0.1,39.6,25.1,287.3,1,1
