,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
216,Gabriel Davis,BUF,WR,42.9,634.5,5,0.1,0.3,0,0,0,0,0
217,Tevin Coleman,NYJ,RB,19,143.3,0.6,1.2,140.1,548.3,3.8,0,0,0
218,Mike Gesicki,MIA,TE,55.3,621.8,5.3,0.7,0,0,0,0,0,0
219,Allen Lazard,GB,WR,47.9,661.9,4.1,0.6,1.3,9.7,0,0,0,0
223,J.D. McKissic,WAS,RB,56.2,410,1.7,0.8,66.6,288.9,1.5,0,0,0
224,Nyheim Hines,IND,RB,50,373.5,2.2,1.2,62.1,267.1,2.1,0,0,0
225,Irv Smith Jr.,MIN,TE,51.8,569.4,5.4,0.7,0,0,0,0,0,0
226,Andy Dalton,CHI,QB,0,0,0,0.8,12.9,43.5,0.5,1450.1,8.5,5
227,Jared Cook,LAC,TE,45.9,577.2,5.1,0.6,0,0,0,0,0,0
228,Rob Gronkowski,TB,TE,42.1,549.8,5.3,0.2,0,0,0,0,0,0
229,John Brown,LV,WR,47.9,651,3.7,0.6,0.3,1,0,0,0,0
230,Sterling Shepard,NYG,WR,60.4,616.7,3.5,0.6,3.3,25.8,0.3,0,0,0
231,James White,NE,RB,52.3,423.7,2.3,1.2,52.4,214.8,1.8,0,0,0
232,Tre'Quan Smith,NO,WR,40.1,576.4,4.6,0.1,0.3,0.5,0,0,0,0
233,Tarik Cohen,CHI,RB,56.6,389.5,2,1.3,66.4,277.8,1.3,0,0,0
235,Christian Kirk,ARI,WR,47.8,578.6,4.1,0.6,3.9,26.8,0,0,0,0
237,A.J. Green,ARI,WR,50.4,616.2,3.9,0.7,0,0,0,0,0,0
239,Eric Ebron,PIT,TE,58,574.2,4.6,0.7,0,0,0,0,0,0
240,Alexander Mattison,MIN,RB,16.5,134.2,0.6,0.7,112.8,507.6,2.6,0,0,0
241,Elijah Moore,NYJ,WR,51.6,624.5,3.4,0.4,0.7,4.2,0,0,0,0
242,Rashod Bateman,BAL,WR,43.1,569.2,4.4,0.6,0.8,4.8,0,0,0,0
243,Hunter Henry,NE,TE,53.7,583.9,4.2,0.6,0,0,0,0,0,0
244,Marquez Valdes-Scantling,GB,WR,33,568.5,3.9,0.6,2.5,14.8,0,0,0,0
245,Jamison Crowder,NYJ,WR,52.3,581.9,3.8,0.6,0.3,3.3,0,0,0,0
246,Jonnu Smith,NE,TE,53.5,561.6,4.1,0.7,0,0,0,0,0,0
247,Evan Engram,NYG,TE,57.9,587.5,3.7,0.7,0,0,0,0,0,0
248,Rondale Moore,ARI,WR,48.6,600.5,3.3,1.2,1.1,6.2,0,0,0,0
249,Blake Jarwin,DAL,TE,48.3,539.6,4.1,0.2,0,0,0,0,0,0
250,Randall Cobb,HOU,WR,49,604.9,2.9,0.7,0.5,1.3,0,0,0,0
251,Parris Campbell,IND,WR,43.6,527.3,3.4,0.4,4.9,30.7,0.2,0,0,0
252,DeSean Jackson,LAR,WR,34.3,544.4,3.5,0.6,2.8,17.1,0.1,0,0,0
253,Darius Slayton,NYG,WR,41.6,564.7,3.4,0.6,0.8,2.6,0,0,0,0
254,Rashaad Penny,SEA,RB,15.4,120.7,0.7,0.7,90.8,423.2,3.1,0,0,0
255,Austin Hooper,CLE,TE,49.8,499.6,4.5,0.6,0,0,0,0,0,0
256,Terrace Marshall Jr.,CAR,WR,44.7,582.6,3.2,1.1,0.5,2.8,0,0,0,0
257,Phillip Lindsay,HOU,RB,20.4,130.8,0.3,1.1,104.5,460.6,2.7,0,0,0
258,Adam Trautman,NO,TE,49.6,538,3.8,0.7,0,0,0,0,0,0
259,Anthony Firkser,TEN,TE,48.7,522.8,3.8,0.1,0,0,0,0,0,0
260,Jakobi Meyers,NE,WR,45.4,575.1,2.5,0.4,0.8,4,0,0,0,0
261,Darrel Williams,KC,RB,21.1,155.4,0.8,0.6,76.8,321.2,3.2,0,0,0
262,Hunter Renfrow,LV,WR,44.4,535.8,2.9,0.6,0,0,0,0,0,0
263,Sony Michel,NE,RB,7.4,65.4,0.4,0.6,96.5,429.2,2.8,0,0,0
264,Chris Conley,HOU,WR,35.9,506.4,2.8,0.2,0,0,0,0,0,0
265,Keelan Cole Sr.,NYJ,WR,37.5,477.6,3,0.2,0.3,1.3,0,0,0,0
266,Gerald Everett,SEA,TE,41.9,431.7,3.9,0.6,0,0,0,0,0,0
267,Josh Reynolds,TEN,WR,36.1,469.6,3.1,0.6,0.8,4.5,0,0,0,0
268,Denzel Mims,NYJ,WR,37.3,525.1,2.2,0.6,0.3,0.8,0,0,0,0
269,Van Jefferson,LAR,WR,37.9,455.1,3.2,0.6,1.4,5.8,0,0,0,0
270,Zach Ertz,PHI,TE,43.7,450,3.2,0.1,0,0,0,0,0,0
271,Amon-Ra St. Brown,DET,WR,39.7,507.2,2.3,0.6,0.5,2.3,0,0,0,0
272,Ty Johnson,NYJ,RB,19.9,137.8,0.6,0.3,76.2,329.6,2.2,0,0,0
273,Damien Williams,CHI,RB,19.6,140.7,1,0.6,66.9,280.3,2.7,0,0,0
274,Sammy Watkins,BAL,WR,34.8,429.7,3.4,0.6,0.8,7.5,0,0,0,0
275,Rashard Higgins,CLE,WR,29.8,448.4,3,0.6,0,0,0,0,0,0
276,James Washington,PIT,WR,32.4,442.3,2.8,0.6,0,0,0,0,0,0
277,Giovani Bernard,TB,RB,35.1,267.5,1.4,0.6,50.8,183.6,1.3,0,0,0
278,Cole Kmet,CHI,TE,43.2,431.1,3.1,1.2,0,0,0,0,0,0
279,Demarcus Robinson,KC,WR,34.5,411.2,3.2,0.6,0,0,0,0,0,0
280,D'Wayne Eskridge,SEA,WR,33,404.3,3,0.2,0.7,3.7,0,0,0,0
281,Dawson Knox,BUF,TE,33.4,385.3,3.5,0.6,0,0,0,0,0,0
282,Hayden Hurst,ATL,TE,38.5,404.6,2.9,0.1,0,0,0,0,0,0
283,Zach Pascal,IND,WR,28,385.3,3.1,0,0.3,2,0,0,0,0
284,Wayne Gallman,SF,RB,9.8,75.9,0.4,1,71.6,315.6,2.9,0,0,0
285,Justin Jackson,LAC,RB,15.8,112.6,0.4,0.6,77.6,350.4,1.6,0,0,0
286,Chris Herndon IV,NYJ,TE,41.1,414.1,3.2,1.7,0,0,0,0,0,0
287,Jordan Akins,HOU,TE,39.7,421.8,2.5,0.1,0,0,0,0,0,0
