,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
351,Maxx Williams,ARI,TE,21.1,235.2,2,0.1,0,0,0,0,0,0
352,Jeff Wilson Jr.,SF,RB,2.5,27,0.5,1,41.7,182.3,2.1,0,0,0
353,Nick Boyle,BAL,TE,23.3,218.9,2.1,0,0,0,0,0,0,0
354,Isaiah Coulter,HOU,WR,17.3,271.5,1.5,1,1,4,0,0,0,0
355,Auden Tate,CIN,WR,20.5,260,1.4,0.1,0,0,0,0,0,0
356,Brandon Bolden,NE,RB,4.9,50,0.6,0,19.9,100.6,2.3,0,0,0
357,Carlos Hyde,JAC,RB,6.3,36.7,0,0.6,52.5,212.8,1.4,0,0,0
358,Brian Hill,TEN,RB,4.8,35.2,0.1,0.6,45.6,234.5,1,0,0,0
359,Geoff Swaim,TEN,TE,23.2,216.1,1.8,0.1,0,0,0,0,0,0
360,Matt Breida,BUF,RB,9.6,76.9,0.4,1.1,42.5,184.5,0.9,0,0,0
361,Kyle Rudolph,NYG,TE,22.9,212.5,1.8,0.1,0,0,0,0,0,0
362,Javian Hawkins,ATL,RB,4.6,35.4,0.1,0.2,46,189.5,1.5,0,0,0
363,Drew Sample,CIN,TE,24.5,231.8,1.4,0.6,0,0,0,0,0,0
364,James O'Shaughnessy,JAC,TE,24.2,238.8,1,0.1,0,0,0,0,0,0
365,N'Keal Harry,NE,WR,16.9,204.4,1.5,0.1,0.9,5.6,0,0,0,0
366,Harrison Bryant,CLE,TE,19.4,207.7,1.9,1.1,0,0,0,0,0,0
367,Jacob Eason,IND,QB,0,0,0,0.5,7.2,31,0.4,436,2.8,1.8
368,Johnny Stanton,CLE,RB,9,71,1,0,20,100,1,0,0,0
369,Greg Ward,PHI,WR,22.1,220.1,1.2,0.2,0,0,0,0,0,0
370,Cameron Brate,TB,TE,20.5,192.5,1.6,0,0,0,0,0,0,0
371,Darren Fells,DET,TE,18.2,188.5,1.6,0,0,0,0,0,0,0
372,Foster Moreau,LV,TE,13.9,152.1,2.1,0.1,0,0,0,0,0,0
373,Devin Duvernay,BAL,WR,17.3,190.6,1.3,0.1,1.7,11.7,0,0,0,0
374,Dez Fitzpatrick,TEN,WR,15.4,200.3,1,0.1,0,0,0,0,0,0
375,Albert Okwuegbunam,DEN,TE,16.6,174.2,1.4,0.1,0,0,0,0,0,0
376,Adam Shaheen,MIA,TE,16.6,164.6,1.9,1,0,0,0,0,0,0
377,Larry Rountree III,LAC,RB,4.6,34.9,0.2,0.1,32.8,137.7,1.3,0,0,0
378,Jalen Richard,LV,RB,17.2,134,0.6,0.1,17.3,75.5,0.2,0,0,0
379,Andre Roberts,HOU,WR,15,195,1,0,0,0,0,0,0,0
380,Ryan Izzo,HOU,TE,12.4,209.9,1,1,0,0,0,0,0,0
381,Pat Freiermuth,PIT,TE,19.9,179.7,1.3,0.5,0,0,0,0,0,0
382,Jermar Jefferson,DET,RB,9.4,69.9,0.1,0.1,29.9,122.3,0.9,0,0,0
383,La'Mical Perine,NYJ,RB,4.3,31.4,0.2,0.2,34.5,145.5,1,0,0,0
384,Donte Moncrief,HOU,WR,13.7,173.5,1.1,0,0,0,0,0,0,0
385,Hunter Long,MIA,TE,19.1,176.3,1.3,0.5,0,0,0,0,0,0
386,Raymond Calais,LAR,RB,5.7,44.2,0.3,0.1,26.5,111.8,1.1,0,0,0
387,Ian Thomas,CAR,TE,18,159.2,1.3,0,0,0,0,0,0,0
388,Elijah Mitchell,SF,RB,5.8,52.4,0.2,0.1,26.9,124.7,0.8,0,0,0
389,Marcedes Lewis,GB,TE,13,140.5,1.6,0,0,0,0,0,0,0
390,Collin Johnson,JAC,WR,15.6,190.4,0.7,0.1,0,0,0,0,0,0
391,David Moore,CAR,WR,11.6,160.8,1,0.1,1.2,7.8,0,0,0,0
392,Kahale Warring,HOU,TE,15.9,163.7,1,0.1,0,0,0,0,0,0
393,Ryan Griffin,NYJ,TE,14.2,138,1.4,0,0,0,0,0,0,0
394,Willie Snead IV,LV,WR,14.5,167.3,0.9,0.1,0,0,0,0,0,0
395,Freddie Swain,SEA,WR,12.4,155.9,1,0.1,0,0,0,0,0,0
396,Phillip Dorsett II,JAC,WR,12.8,155.6,1,0,0,0,0,0,0,0
397,Olabisi Johnson,MIN,WR,12.9,153.8,1,0,0,0,0,0,0,0
398,Jacob Harris,LAR,TE,12.6,156.8,0.9,0,0,0,0,0,0,0
399,Chris Manhertz,JAC,TE,15.5,153.2,1,0,0,0,0,0,0,0
400,Pharaoh Brown,HOU,TE,13.4,143.5,1.1,0,0,0,0,0,0,0
401,Noah Gray,KC,TE,14.4,148.2,1.2,0.5,0,0,0,0,0,0
402,Jaylen Samuels,PIT,RB,7.9,52.6,0.3,0.1,24.1,101.1,0.6,0,0,0
403,Matt Sokol,LAC,TE,13,141,1,0,0,0,0,0,0,0
404,Reggie Gilliam,BUF,TE,11,78,2,0,0,0,0,0,0,0
405,Chad Beebe,MIN,WR,11.5,141.3,0.9,0.1,0,0,0,0,0,0
406,Tony Brooks-James,ATL,RB,0.9,6.3,0,0,33,139.4,0.8,0,0,0
407,Tyler Kroft,NYJ,TE,11,111.3,1.4,0,0,0,0,0,0,0
408,Darrell Daniels,ARI,TE,12.7,135.1,1,0.1,0,0,0,0,0,0
409,Anthony McFarland Jr.,PIT,RB,5.7,45.3,0.1,0.6,30,115,0.5,0,0,0
410,Miles Boykin,BAL,WR,9.9,133,0.8,0.1,0.8,4.9,0,0,0,0
411,Lynn Bowden Jr.,MIA,WR,11.6,106.9,0.3,0.1,10.2,49.2,0.2,0,0,0
412,Thaddeus Moss,CIN,TE,13,122,1,0,0,0,0,0,0,0
413,Justice Hill,BAL,RB,5.2,37.2,0.2,0.1,21,95.9,0.7,0,0,0
414,Jerick McKinnon,KC,RB,6.9,49.5,0.2,0.1,21.4,94.7,0.4,0,0,0
415,KeeSean Johnson,ARI,WR,10.6,121.3,1,0,0,0,0,0,0,0
416,Cam Sims,WAS,WR,10.5,140.9,0.7,0,0,0,0,0,0,0
417,James Morgan,NYJ,QB,0,0,0,0.3,1.9,8.3,0.1,329.2,1.7,1.3
418,Jalen Hurd,SF,WR,7.9,100.7,0.6,0.1,4.7,28.8,0.2,0,0,0
419,Ray-Ray McCloud,PIT,WR,11.5,114.3,0.7,0.2,3,18.7,0.1,0,0,0
420,Christian Blake,ATL,WR,12.5,146,0.5,0.1,0,0,0,0,0,0
421,Anthony Schwartz,CLE,WR,10.1,124.2,0.8,0.1,0,0,0,0,0,0
422,Nick Vannett,NO,TE,11,118.6,0.9,0.1,0,0,0,0,0,0
423,Hunter Bryant,DET,TE,10.4,122.8,0.8,0,0,0,0,0,0,0
424,Devin Asiasi,NE,TE,10.4,117.1,1.1,0.5,0,0,0,0,0,0
425,Kerryon Johnson,PHI,RB,3.7,29.6,0.1,0.3,26.1,102.2,0.6,0,0,0
426,Ross Dwelley,SF,TE,11.5,118.4,0.9,0,0,0,0,0,0,0
427,Jace Sternberger,GB,TE,10.5,101.9,1.1,0,0,0,0,0,0,0
428,Ameer Abdullah,MIN,RB,8,58.5,0.3,0.1,18.9,76.2,0.3,0,0,0
429,Brycen Hopkins,LAR,TE,12.4,126.5,0.7,0.1,0,0,0,0,0,0
430,JaMycal Hasty,SF,RB,2.7,18.6,0.1,0,21.5,105,0.6,0,0,0
431,Eno Benjamin,ARI,RB,3.4,27,0.1,0.1,23.5,100.4,0.6,0,0,0
432,Durham Smythe,MIA,TE,13.1,108.2,1,0,0,0,0,0,0,0
433,Jeremy McNichols,TEN,RB,4.7,31.6,0.1,0.1,21.8,96.9,0.5,0,0,0
434,Kyle Trask,TB,QB,0,0,0,0.2,1.3,5.1,0,247.5,1.8,0.7
435,Austin Fort,DEN,TE,10,102,1,0,0,0,0,0,0,0
436,Derek Carrier,LV,TE,10,92.3,1.2,0,0,0,0,0,0,0
437,Donovan Peoples-Jones,CLE,WR,9.9,124.8,0.6,0,0,0,0,0,0,0
438,Stephen Carlson,CLE,TE,8.1,88.5,1.1,0,0,0,0,0,0,0
439,Demetric Felton,CLE,RB,2.5,20.6,0,0,18.7,90.2,0.7,0,0,0
440,Travis Homer,SEA,RB,6,43.8,0.2,0.2,17.8,75.2,0.4,0,0,0
441,Jordan Thomas,IND,TE,8.3,75.5,1.3,0,0,0,0,0,0,0
442,Josh Adams,NYJ,RB,0.9,5.5,0,0,16.6,78.5,1.1,0,0,0
443,Brevin Jordan,HOU,TE,10.4,111.2,0.6,0,0,0,0,0,0,0
444,Jamal Agnew,JAC,WR,6.8,76.3,0.4,0.1,6.2,33.8,0.2,0,0,0
445,Tyler Johnson,TB,WR,8.1,102.7,0.8,0,0,0,0,0,0,0
446,Jacoby Brissett,MIA,QB,0,0,0,0.3,4.3,14.1,0.2,227.9,1.1,0.5
447,Jeff Smith,NYJ,WR,9.6,107.2,0.6,0,0,0,0,0,0,0
448,Cedrick Wilson,DAL,WR,8.4,110.1,0.6,0.1,0,0,0,0,0,0
449,Dexter Williams,GB,RB,6.6,49.2,0.3,0.1,12.7,54.2,0.4,0,0,0
450,Marquise Goodwin,CHI,WR,10.8,112.4,0.5,0,0,0,0,0,0,0
451,Dontrell Hilliard,HOU,RB,4.9,36.1,0,0,12.4,45,1,0,0,0
452,Josiah Deguara,GB,TE,9.3,96.1,0.9,0.5,0,0,0,0,0,0
453,Lamar Miller,WAS,RB,3.1,25.4,0.1,0,14.9,62.1,0.8,0,0,0
454,Blake Bell,KC,TE,10,94.8,0.7,0,0,0,0,0,0,0
455,Alex Erickson,HOU,WR,9.4,107.3,0.5,0.1,0,0,0,0,0,0
456,Cameron Batson,TEN,WR,7.2,80.1,0.6,0.1,2.5,14.9,0.1,0,0,0
457,Luke Farrell,JAC,TE,12,110.7,0.6,0.5,0,0,0,0,0,0
458,Mason Rudolph,PIT,QB,0,0,0,0.1,2.7,8.9,0.1,222.4,1.3,0.8
459,Phillip Walker,CAR,QB,0,0,0,0.5,2,6.1,0.1,287.8,0.9,1
460,D'Ernest Johnson,CLE,RB,3.6,27.5,0.1,0.2,18.5,79.5,0.4,0,0,0
461,Jordan Howard,PHI,RB,0.4,4.5,0,0,14.9,64.4,1,0,0,0
462,Mike Thomas,CIN,WR,7.5,94,0.6,0.1,0,0,0,0,0,0
463,Chris Moore,HOU,WR,8.3,92.6,0.6,0,0,0,0,0,0,0
464,Noah Brown,DAL,WR,7.6,93.7,0.6,0.1,0,0,0,0,0,0
465,Taylor Heinicke,WAS,QB,0,0,0,0.2,3,13,0.1,200.1,1.1,0.8
466,Rico Dowdle,DAL,RB,2.9,26.4,0.1,0,15.6,65.2,0.5,0,0,0
467,Royce Freeman,DEN,RB,3.6,22.5,0.1,0,16.2,67.9,0.4,0,0,0
468,Equanimeous St. Brown,GB,WR,6.5,88.2,0.6,0,0,0,0,0,0,0
469,Andy Isabella,ARI,WR,7.2,90.1,0.5,0,0,0,0,0,0,0
470,Frank Darby,ATL,WR,7.3,92.3,0.5,0,0,0,0,0,0,0
471,Ty Montgomery,NO,RB,6.1,47.9,0.2,0.1,14.3,53.9,0.1,0,0,0
472,Jordan Wilkins,IND,RB,1.7,12.3,0.1,0,14.7,72.9,0.4,0,0,0
473,Penny Hart,SEA,WR,6.7,78.3,0.6,0,0.7,3.3,0,0,0,0
474,John Bates,WAS,TE,9.5,88.2,0.6,0.5,0,0,0,0,0,0
475,Kene Nwangwu,MIN,RB,3,21,0,0,23,91,0,0,0,0
476,Trey Edmunds,PIT,RB,3.9,25.8,0.2,0,12.7,55.1,0.3,0,0,0
477,Juwan Johnson,NO,WR,7.3,97.3,0.2,0,0,0,0,0,0,0
478,Tim Boyle,DET,QB,0,0,0,0,2.7,3.3,0,181.3,1,0.3
479,Kellen Mond,MIN,QB,0,0,0,0.1,1.7,7.8,0.1,153.2,1.1,0.4
480,Ke'Shawn Vaughn,TB,RB,2.4,17.1,0.1,0,13.8,58.5,0.4,0,0,0
481,Devin Funchess,GB,WR,5.6,71.3,0.6,0,0,0,0,0,0,0
482,Tommy Sweeney,BUF,TE,6,75.7,0.5,0,0,0,0,0,0,0
483,Nick Westbrook-Ikhine,TEN,WR,5.8,77.2,0.5,0,0,0,0,0,0,0
484,Gary Brightwell,NYG,RB,2.6,18.9,0,0.1,16.2,69.4,0.3,0,0,0
485,DaeSean Hamilton,DEN,WR,7.3,75,0.5,0,0,0,0,0,0,0
486,Caleb Wilson,PHI,TE,6.8,66.8,0.6,0,0,0,0,0,0,0
487,J.P. Holtz,CHI,TE,5.9,73.4,0.5,0,0,0,0,0,0,0
488,Stephen Anderson,LAC,TE,5.9,73.2,0.4,0,0,0,0,0,0,0
489,J.J. Taylor,NE,RB,1.9,14.9,0,0,13.5,59.1,0.4,0,0,0
490,Tommy Tremble,CAR,TE,8.6,85.3,0.4,0.5,0,0,0,0,0,0
491,Patrick Ricard,BAL,RB,8.8,58,0.8,0.5,1.3,3,0,0,0,0
492,Evan Baylis,KC,TE,6.5,67.5,0.5,0,0,0,0,0,0,0
493,Tre' McKitty,LAC,TE,7,75.3,0.4,0,0,0,0,0,0,0
494,Colby Parkinson,SEA,TE,5.9,61.4,0.6,0.1,0,0,0,0,0,0
495,Gardner Minshew II,JAC,QB,0,0,0,0.6,2.4,11.9,0,160.1,1.1,0.5
496,Alec Ingold,LV,RB,6.6,54.7,0.3,0.1,4.5,18.8,0.2,0,0,0
497,Kylin Hill,GB,RB,1.5,11,0,0,20,80.6,0.1,0,0,0
498,C.J. Ham,MIN,RB,5.9,50,0.3,0.1,4.7,20,0.2,0,0,0
499,Marcus Mariota,LV,QB,0,0,0,0.1,3.4,17.7,0,152.3,0.8,0.7
500,Sam Ehlinger,IND,QB,0,0,0,0,1,4,0,128,1,0
501,Richard Rodgers,PHI,TE,4.9,64.5,0.5,0,0,0,0,0,0,0
502,Mitchell Trubisky,BUF,QB,0,0,0,0.1,3.6,15.2,0.1,134.8,0.9,0.7
503,John Ross,NYG,WR,4.3,56.4,0.5,0.1,0.7,3.9,0,0,0,0
504,Charlie Woerner,SF,TE,5.7,63.9,0.4,0,0,0,0,0,0,0
505,Colin Thompson,CAR,TE,6.3,60.4,0.5,0,0,0,0,0,0,0
506,Jeremy Sprinkle,DAL,TE,6.1,62.5,0.5,0,0,0,0,0,0,0
507,Chad Henne,KC,QB,0,0,0,0.1,1.3,5.8,0,153,0.7,0.2
508,Antonio Gandy-Golden,WAS,WR,4.8,64.8,0.4,0,0,0,0,0,0,0
509,Chris Evans,CIN,RB,2.3,17,0.1,0.1,14.9,57.3,0.1,0,0,0
510,Trace McSorley,BAL,QB,0,0,0,0.1,3.3,14.4,0.1,125.1,0.7,0.5
511,Jaeden Graham,ATL,TE,5.3,65.8,0.3,0,0,0,0,0,0,0
512,Antony Auclair,HOU,TE,4.9,54.5,0.5,0,0,0,0,0,0,0
513,Johnny Mundt,LAR,TE,5.3,56.5,0.5,0,0,0,0,0,0,0
514,Joe Flacco,PHI,QB,0,0,0,0.6,1.2,5.8,0,174.1,0.8,0.7
515,John Wolford,LAR,QB,0,0,0,0.1,1.8,9,0,149.7,0.6,0.4
516,Theo Riddick,LV,RB,5.4,42.3,0.1,0.1,7.3,30.9,0.1,0,0,0
517,Reggie Bonnafon,CAR,RB,3.4,25.2,0,0.1,12,45.5,0.1,0,0,0
518,Javon Wims,CHI,WR,5.2,70.9,0.2,0,0,0,0,0,0,0
519,Tajae Sharpe,ATL,WR,4.6,58.6,0.4,0,0,0,0,0,0,0
520,Jason Croom,PHI,TE,5.4,48.7,0.5,0,0,0,0,0,0,0
521,Garrett Gilbert,DAL,QB,0,0,0,0.1,1.5,6.2,0,142.9,0.6,0.4
522,Albert Wilson,MIA,WR,4.8,48.5,0.3,0,1.6,8.8,0,0,0,0
523,Geno Smith,SEA,QB,0,0,0,0.2,1.3,2.5,0,122,0.9,0.3
524,Alex Armah,NO,RB,4.5,36.3,0.2,0.1,4.4,18.5,0.2,0,0,0
525,Levine Toilolo,NYG,TE,5.4,46.2,0.5,0,0,0,0,0,0,0
526,Brandon Allen,CIN,QB,0,0,0,0.1,1.3,5.1,0,144.1,0.6,0.5
527,Steven Sims Jr.,WAS,WR,3.9,49.3,0.3,0,1.1,7,0,0,0,0
528,Victor Bolden Jr.,DET,WR,5.2,56.2,0.3,0,0,0,0,0,0,0
529,Ben Ellefson,JAC,TE,5,53.6,0.4,0,0,0,0,0,0,0
530,Kalif Raymond,DET,WR,4.9,64.9,0.1,0,0,0,0,0,0,0
531,Jordan Love,GB,QB,0,0,0,0.1,0.7,3.1,0,108.7,0.9,0.3
532,Chase Daniel,LAC,QB,0,0,0,0.1,1.5,5.8,0,132.1,0.6,0.5
533,Ian Book,NO,QB,0,0,0,0,1,4,0,120,1,1
534,David Blough,DET,QB,0,0,0,0.1,1.7,6.6,0,125.2,0.7,0.6
535,Malik Taylor,GB,WR,4.3,50.1,0.3,0,0,0,0,0,0,0
536,Diontae Spencer,DEN,WR,3.6,40,0.2,0,2.4,13.7,0.1,0,0,0
537,Andrew Beck,DEN,RB,4.1,28,0.2,0,4.9,21.2,0.2,0,0,0
538,Khalil Herbert,CHI,RB,2,16.3,0.1,0,8.3,34.5,0.2,0,0,0
539,Cornell Powell,KC,WR,3.8,48.7,0.3,0,0,0,0,0,0,0
540,Ihmir Smith-Marsette,MIN,WR,4.6,60.8,0.1,0,0,0,0,0,0,0
541,Logan Woodside,TEN,QB,0,0,0,0.1,2,5.4,0,90.5,0.8,0.3
542,J.J. Nelson,IND,WR,3,46.3,0.3,0,0,0,0,0,0,0
543,Isaiah Hodgins,BUF,WR,3.7,46.9,0.3,0,0,0,0,0,0,0
544,Josh Oliver,BAL,TE,4,41.6,0.4,0,0,0,0,0,0,0
545,Gerrid Doaks,MIA,RB,2.2,15.9,0.1,0,8.1,33.3,0.2,0,0,0
546,Chris Streveler,ARI,QB,0,0,0,0.2,1.6,6.7,0.1,106.3,0.6,0.5
547,Justin Watson,TB,WR,4.1,44.4,0.3,0,0,0,0,0,0,0
548,Jaelon Darden,TB,WR,4.2,48,0.3,0,0,0,0,0,0,0
549,Lil'Jordan Humphrey,NO,WR,3.6,47.2,0.3,0,0,0,0,0,0,0
550,Buddy Howell,HOU,RB,4.1,28.2,0.2,0,4,17.1,0.2,0,0,0
551,Tyler Huntley,BAL,QB,0,0,0,0,3,16,0,68,0.5,0
552,Isaac Whitney,ARI,WR,4.1,47,0.3,0,0,0,0,0,0,0
553,Marcus Johnson,TEN,WR,3.6,43.7,0.3,0,0,0,0,0,0,0
554,Blaine Gabbert,TB,QB,0,0,0,0,1.3,5.3,0,110,0.3,0
555,Ross Travis,ARI,TE,3.9,42.6,0.4,0,0,0,0,0,0,0
556,Kylen Granson,IND,TE,5.2,56.1,0.1,0,0,0,0,0,0,0
557,AJ McCarron,ATL,QB,0,0,0,0.2,0.5,2.2,0,111.5,0.6,0.4
558,Michael Warren II,DET,RB,2.3,16.7,0.1,0,7.7,31.4,0.2,0,0,0
559,Noah Togiai,IND,TE,3.9,42.9,0.3,0.1,0,0,0,0,0,0
560,Jakeem Grant Sr.,MIA,WR,3.2,35.2,0.2,0,1.5,8.4,0,0,0,0
561,Gabe Nabers,LAC,RB,3.2,25.1,0.2,0.1,3.3,14.4,0.1,0,0,0
562,Nick Bellore,SEA,RB,4.4,32,0.3,0,1.6,6.6,0,0,0,0
563,Nick Keizer,KC,TE,4.2,44.5,0.2,0,0,0,0,0,0,0
564,Mike Glennon,NYG,QB,0,0,0,0.6,1.2,5.6,0,125.1,0.6,0.4
565,Chester Rogers,TEN,WR,3.9,38.2,0.3,0,0,0,0,0,0,0
566,Gunner Olszewski,NE,WR,2.8,33.9,0.2,0,1.8,9.6,0.1,0,0,0
567,Zay Jones,LV,WR,3.3,37.3,0.3,0,0,0,0,0,0,0
568,Dazz Newsome,CHI,WR,3.3,42.6,0.2,0,0,0,0,0,0,0
569,Keith Smith,ATL,RB,3.4,26.1,0.2,0.1,3.2,13.7,0.1,0,0,0
570,Tylan Wallace,BAL,WR,3,38.7,0.3,0,0,0,0,0,0,0
571,Trent Taylor,CIN,WR,4,40.1,0.2,0,0,0,0,0,0,0
572,Mason Schreck,CIN,TE,3.5,36.5,0.3,0,0,0,0,0,0,0
573,Colt McCoy,ARI,QB,0,0,0,0,1.5,8,0,84,0.5,0.5
574,Temarrick Hemingway,WAS,TE,3.4,38.9,0.2,0,0,0,0,0,0,0
575,Jared Pinkney,TEN,TE,3.4,33.5,0.3,0,0,0,0,0,0,0
576,Alize Mack,DET,TE,4,39.3,0.2,0,0,0,0,0,0,0
577,Andy Janovich,CLE,RB,4,33.2,0.2,0,1.2,5.3,0,0,0,0
578,Quez Watkins,PHI,WR,2.9,38.3,0.2,0,0,0,0,0,0,0
579,Dwayne Haskins,PIT,QB,0,0,0,0,1.5,5,0,84.5,0.5,0.5
580,Keith Kirkwood,CAR,WR,3,38.3,0.2,0,0,0,0,0,0,0
581,Case Keenum,CLE,QB,0,0,0,0.6,0.9,3.6,0,92.9,0.6,0.4
582,Jarrett Stidham,NE,QB,0,0,0,0,2.5,5,0,76,0.5,0.5
583,Alex Collins,SEA,RB,1.4,10.6,0.1,0.1,4.8,20.2,0.2,0,0,0
584,Derek Watt,PIT,RB,1.7,12.2,0.1,0,4.2,17.8,0.1,0,0,0
585,Antonio Williams,BUF,RB,0.4,3.2,0,0,6.4,27.5,0.2,0,0,0
586,Deon Yelder,WAS,TE,2.6,29.3,0.2,0,0,0,0,0,0,0
587,Gehrig Dieter,KC,WR,2.4,31.2,0.2,0,0,0,0,0,0,0
588,Ben Mason,BAL,RB,3.5,27.6,0.2,0,0,0,0,0,0,0
589,Darwin Thompson,KC,RB,1.7,12.3,0.1,0,3.9,16.5,0.2,0,0,0
590,Zach Gentry,PIT,TE,2.7,28.6,0.2,0,0,0,0,0,0,0
591,J.J. Arcega-Whiteside,PHI,WR,2.2,31,0.2,0,0,0,0,0,0,0
592,Dwayne Washington,NO,RB,1.5,11.6,0,0,4.7,20,0.1,0,0,0
593,Damiere Byrd,CHI,WR,2.4,29.9,0.2,0,0,0,0,0,0,0
594,Michael Burton,KC,RB,1.9,14.8,0.1,0,3.3,13.9,0.1,0,0,0
595,Patrick Laird,MIA,RB,2.7,19.8,0.1,0,2.8,11.6,0.1,0,0,0
596,Dominique Dafney,GB,TE,2.4,25.8,0.2,0,0,0,0,0,0,0
597,Travis Benjamin,SF,WR,1.9,27,0.2,0,0,0,0,0,0,0
598,Garrett Griffin,NO,TE,2.3,25.8,0.2,0,0,0,0,0,0,0
599,Nsimba Webster,SF,WR,2.3,28.9,0.1,0,0,0,0,0,0,0
600,Jaydon Mickens,TB,WR,2,24.6,0.2,0,0,0,0,0,0,0
601,Simi Fehoko,DAL,WR,2,25.1,0.2,0,0,0,0,0,0,0
602,Brandon Dillon,MIN,TE,2.2,23.8,0.2,0,0,0,0,0,0,0
603,Terry Godwin,JAC,WR,2,22.6,0.2,0,0,0,0,0,0,0
604,Jesper Horsted,CHI,TE,2.3,24.3,0.1,0,0,0,0,0,0,0
605,Brandon Powell,BUF,WR,2,22.2,0.2,0,0,0,0,0,0,0
606,K.J. Osborn,MIN,WR,1.9,24.7,0.1,0,0,0,0,0,0,0
607,Cethan Carter,MIA,TE,2.5,24.2,0.1,0,0,0,0,0,0,0
608,Eric Saubert,DEN,TE,2.3,22.6,0.1,0,0,0,0,0,0,0
609,Corey Clement,NYG,RB,0.5,3.6,0,0,4.2,17.5,0.2,0,0,0
610,Braxton Berrios,NYJ,WR,1.5,17.4,0.1,0,1,5.8,0,0,0,0
611,K.J. Hill Jr.,LAC,WR,1.4,16.7,0.1,0,1,6.3,0,0,0,0
612,Jalen Camp,JAC,WR,1.8,22.2,0.1,0,0,0,0,0,0,0
613,DeMichael Harris,IND,WR,1.2,14.6,0.1,0,1.6,9,0,0,0,0
614,Devine Ozigbo,JAC,RB,1.5,11.4,0,0,2.8,12.2,0.1,0,0,0
615,Malcolm Perry,MIA,WR,1.2,11.7,0.1,0,1.8,9.4,0.1,0,0,0
616,Ricky Seals-Jones,WAS,TE,1.5,18.3,0.2,0,0,0,0,0,0,0
617,Kaden Smith,NYG,TE,2.5,22,0.1,0,0,0,0,0,0,0
618,Elijhaa Penny,NYG,RB,1.5,10.9,0,0,2.5,10.3,0.1,0,0,0
619,Troy Fumagalli,NE,TE,1.9,18.1,0.2,0,0,0,0,0,0,0
620,Kendall Hinton,DEN,WR,1.4,15.6,0.1,0,1.2,6.4,0,0,0,0
621,Allen Hurns,MIA,WR,1.6,16.8,0.2,0,0,0,0,0,0,0
622,Khari Blasingame,TEN,RB,2.3,19.5,0.1,0,0.5,2.1,0,0,0,0
623,Ashton Dulin,IND,WR,1.2,15,0.1,0,1.2,6.2,0,0,0,0
624,Seth Williams,DEN,WR,1.7,20.2,0.1,0,0,0,0,0,0,0
625,Shi Smith,CAR,WR,1.7,20.7,0.1,0,0,0,0,0,0,0
626,Tanner Hudson,TB,TE,1.5,15.7,0.1,0,0,0,0,0,0,0
627,Jakob Johnson,NE,RB,2.3,19,0.1,0,0,0,0,0,0,0
628,Nick Mullens,PHI,QB,0,0,0,1,2,4,0,70.5,0.5,0.5
629,Lee Smith,ATL,TE,1.5,14.3,0.1,0,0,0,0,0,0,0
630,Trent Sherfield,SF,WR,1.1,14.6,0.1,0,0,0,0,0,0,0
631,Trevon Wesco,NYJ,TE,1.4,14.3,0.1,0,0,0,0,0,0,0
632,Dare Ogunbowale,JAC,RB,1.4,9.4,0,0,2.1,8.8,0,0,0,0
633,Isaiah Ford,MIA,WR,1.6,15,0.1,0,0,0,0,0,0,0
634,Jonathan Williams,WAS,RB,0.9,7,0,0,2.3,9.8,0,0,0,0
635,Eric Tomlinson,BAL,TE,1.2,11.7,0.1,0,0,0,0,0,0,0
636,Joe Reed,LAC,WR,0.8,9.4,0,0,0.9,4.8,0,0,0,0
637,Matt Cole,NYJ,WR,0.9,9.5,0,0,0.9,4.3,0,0,0,0
638,Malik Turner,DAL,WR,1,13.5,0,0,0,0,0,0,0,0
639,Kalen Ballage,PIT,RB,1,5.7,0,0,2.1,8.5,0,0,0,0
640,Codey McElroy,TB,TE,0.9,8.5,0.1,0,0,0,0,0,0,0
641,Isaac Nauta,GB,TE,0.8,8.4,0.1,0,0,0,0,0,0,0
642,Taiwan Jones,BUF,RB,0.9,7.2,0,0,1.1,4.7,0,0,0,0
643,Antonio Callaway,KC,WR,0.9,11.1,0,0,0,0,0,0,0,0
644,Damion Ratley,DET,WR,1,11.5,0,0,0,0,0,0,0,0
645,Trey Quinn,LV,WR,1.2,12.3,0,0,0,0,0,0,0,0
646,Kevin Rader,PIT,TE,0.9,8.7,0,0,0,0,0,0,0,0
647,Kelvin Harmon,WAS,WR,0.8,10.6,0,0,0,0,0,0,0,0
648,Elijah McGuire,KC,RB,0.9,7.2,0,0,0.9,3.5,0,0,0,0
649,C.J. Prosise,TB,RB,1,7,0,0,0.9,3.6,0,0,0,0
650,Damarea Crockett,DEN,RB,0.9,5.5,0,0,1,4.2,0,0,0,0
651,Jason Cabinda,DET,RB,0.9,6.1,0,0,0.8,3.5,0,0,0,0
652,Sean McKeon,DAL,TE,0.9,9.7,0,0,0,0,0,0,0,0
653,Daniel Brown,NYJ,TE,0.9,8.5,0,0,0,0,0,0,0,0
654,Tyrone Swoopes,WAS,TE,0.9,9.6,0,0,0,0,0,0,0,0
655,Jason Huntley,PHI,RB,0.9,6,0,0,0.9,3.9,0,0,0,0
656,Nathan Cottrell,JAC,RB,0.9,6.2,0,0,0.9,3.6,0,0,0,0
657,LeVante Bellamy,DEN,RB,0.9,5.5,0,0,1,4.4,0,0,0,0
