",",Player,POS,AVG,Rank
128,J.D. McKissic,RB,140.7,139
129,Irv Smith Jr.,TE,143.3,140
130,Kirk Cousins,QB,145,141
131,Marvin Jones Jr.,WR,146.7,142
132,Alexander Mattison,RB,148,143
133,Cole Beasley,WR,150.3,144
134,Carson Wentz,QB,150.7,145
135,Phillip Lindsay,RB,153,146
136,Robert Tonyan,TE,122.5,147
137,Zach Ertz,TE,157,148
138,Darnell Mooney,WR,160.7,151
139,Ben Roethlisberger,QB,161,152
140,Deshaun Watson,QB,166.7,154
141,Evan Engram,TE,136.5,156
142,Justin Fields,QB,165,157
143,Marlon Mack,RB,166,158
144,Rashaad Penny,RB,142,159
145,Mecole Hardman,WR,170.7,161
146,Tua Tagovailoa,QB,171,162
147,Tarik Cohen,RB,171.7,163
148,John Brown,WR,176.3,167
149,James White,RB,177,169
150,Trey Lance,QB,180,170
151,Ryan Fitzpatrick,QB,160.5,171
152,Elijah Moore,WR,161,172
153,Rashod Bateman,WR,181.7,173
154,Taysom Hill,QB,165.5,174
155,Damien Williams,RB,166,175
156,Tevin Coleman,RB,167.5,176
157,Giovani Bernard,RB,168.5,177
158,Jamison Crowder,WR,170,178
159,Chuba Hubbard,RB,173.5,181
160,Nelson Agholor,WR,195,182
161,Daniel Jones,QB,213,185
162,Kenneth Gainwell,RB,178.5,186
163,Jeff Wilson Jr.,RB,179,187
164,Amon-Ra St. Brown,WR,179,188
165,Gerald Everett,TE,193.3,189
166,Jameis Winston,QB,215.7,190
167,Jordan Akins,TE,144,192
168,Gabriel Davis,WR,184.5,194
169,Sterling Shepard,WR,149,195
170,Christian Kirk,WR,150,196
171,Salvon Ahmed,RB,185.5,197
172,Zach Wilson,QB,186.5,199
173,Russell Gage,WR,187,200
174,Jalen Reagor,WR,188,201
175,Jared Cook,TE,188.5,203
176,Cam Newton,QB,211.3,204
177,O.J. Howard,TE,190,205
178,Darrynton Evans,RB,190,206
179,A.J. Green,WR,223,207
180,Javian Hawkins,RB,190.5,208
181,Adam Trautman,TE,220.7,209
182,Nico Collins,WR,164,210
183,Anthony McFarland Jr.,RB,193,211
184,Derek Carr,QB,202.7,213
185,Eric Ebron,TE,218,214
186,Le'Veon Bell,RB,,215
187,Pat Freiermuth,TE,215,216
188,Benny Snell Jr.,RB,169,217
189,Jared Goff,QB,212,218
190,Mark Ingram II,RB,218.5,219
191,Kadarius Toney,WR,174,221
192,Rondale Moore,WR,175,223
193,Todd Gurley II,RB,,224
194,Elijah Mitchell,RB,179,225
195,Tim Tebow,TE,201.5,228
196,Sam Darnold,QB,227.5,230
197,Allen Lazard,WR,184,231
198,Justin Jackson,RB,238.5,232
199,Blake Jarwin,TE,221,234
200,Denzel Mims,WR,190,235
201,Sony Michel,RB,218.5,236
202,Anthony Firkser,TE,194,237
203,Jimmy Graham,TE,196,238
204,Hayden Hurst,TE,198,240
205,Josh Palmer,WR,199,241
206,Terrace Marshall Jr.,WR,200,242
207,Devontae Booker,RB,249.5,243
208,Pooka Williams Jr.,RB,201,244
209,Cordarrelle Patterson,WR,202,246
210,Darius Slayton,WR,203,247
211,Malcolm Brown,RB,238.5,248
212,Darrel Williams,RB,234.5,249
213,Boston Scott,RB,209,250
214,La'Mical Perine,RB,212,251
215,Ty Johnson,RB,213,252
216,Emmanuel Sanders,WR,238.5,253
217,Olamide Zaccheaus,WR,214,254
218,Parris Campbell,WR,232.5,255
219,Joshua Kelley,RB,218,259
220,Eno Benjamin,RB,219,260
221,Gerrid Doaks,RB,220,261
222,DeSean Jackson,WR,234,262
223,Breshad Perriman,WR,221,263
224,Demarcus Robinson,WR,223,264
225,Chad Beebe,WR,224,265
226,Anthony Schwartz,WR,225,266
227,Dez Fitzpatrick,WR,226,267
228,Tyler Johnson,WR,227,268
229,Scotty Miller,WR,228,269
230,Bryan Edwards,WR,229,270
231,Royce Freeman,RB,230,271
232,Corey Clement,RB,231,272
233,Kyle Rudolph,TE,233,273
234,Mo Alie-Cox,TE,234,274
235,Greg Ward,WR,235,275
236,Justice Hill,RB,236,276
237,Keke Coutee,WR,241,278
238,DeeJay Dallas,RB,243,279
239,Byron Pringle,WR,245,280
240,Austin Hooper,TE,246,281
241,Matt Breida,RB,247,282
242,Dalton Schultz,TE,249,283
243,Donovan Peoples-Jones,WR,250,284
244,Jalen Richard,RB,253,286
245,Drew Lock,QB,257,287
246,Wayne Gallman,RB,258,288
247,Quintez Cephus,WR,259,289
248,Chris Herndon IV,TE,260,290
249,Jack Doyle,TE,261,291
250,Cole Kmet,TE,266,292
251,Mike Boone,RB,267,293
252,Larry Rountree III,RB,269,294
253,Dawson Knox,TE,271,295
254,Ke'Shawn Vaughn,RB,273,296
255,Travis Fulgham,WR,275,297
256,Andy Dalton,QB,276,298
257,Tre'Quan Smith,WR,277,299
258,Dan Arnold,TE,279,300
259,Cameron Brate,TE,282,301
260,D'Wayne Eskridge,WR,284,302
261,Anthony Miller,WR,285,303
262,Sammy Watkins,WR,286,304
263,Josh Reynolds,WR,287,305
264,Jimmy Garoppolo,QB,290,306
265,Tyrod Taylor,QB,292,307
266,Mitchell Trubisky,QB,293,308
267,Tylan Wallace,WR,294,309
268,Jalen Hurd,WR,295,310
269,Rex Burkhead,RB,296,311
270,Khalil Herbert,RB,297,312
271,David Njoku,TE,298,313
272,Will Dissly,TE,300,314
273,Tim Patrick,WR,301,315
274,Chris Evans,RB,302,316
275,Kalen Ballage,RB,304,318
276,Rhamondre Stevenson,RB,305,319
277,David Moore,WR,306,320
278,Carlos Hyde,RB,307,321
279,Marquez Valdes-Scantling,WR,309,322
280,Mac Jones,QB,310,323
281,Teddy Bridgewater,QB,311,324
282,Tyrell Williams,WR,312,325
283,Kerryon Johnson,RB,314,326
284,D'Onta Foreman,RB,315,327
285,Deonte Harris,WR,317,328
286,Samaje Perine,RB,318,329
287,Jerick McKinnon,RB,319,330
288,Jordan Love,QB,323,332
289,Randall Cobb,WR,325,333
290,Ameer Abdullah,RB,327,334
291,Rashard Higgins,WR,328,335
292,Devin Funchess,WR,331,336
293,Jakobi Meyers,WR,332,337
294,C.J. Uzomah,TE,333,338
295,Jonathan Williams,RB,335,339
296,Zach Pascal,WR,337,341
297,Ito Smith,RB,338,342
298,Cornell Powell,WR,341,344
299,Stephen Anderson,TE,345,348
300,Van Jefferson,WR,346,349
301,Hunter Renfrow,WR,348,351
302,Marquise Goodwin,WR,351,353
303,Marcus Mariota,QB,355,356
304,Amari Rodgers,WR,356,357
305,Donald Parham Jr.,TE,357,358
306,KJ Hamler,WR,358,359
307,Antonio Gandy-Golden,WR,360,361
308,Kendrick Bourne,WR,361,362
309,Dyami Brown,WR,363,363
310,Lynn Bowden Jr.,WR,366,366
311,Tutu Atwell,WR,369,369
312,Keelan Cole Sr.,WR,370,370
313,Chris Conley,WR,371,371
314,Demetric Felton,WR,373,373
315,Preston Williams,WR,375,375
316,Jalen Guyton,WR,376,376
317,Cam Sims,WR,377,377
318,Shi Smith,WR,378,378
319,James Washington,WR,379,379
320,Damiere Byrd,WR,380,380
321,N'Keal Harry,WR,381,381
322,Devin Smith,WR,382,382
